"record_id","species","decimalLongitude","decimalLatitude","year","basisOfRecord","coordinateUncertaintyInMeters","eventDate","issue"
189,"Crotalus triseriatus",-99.808333,19.141667,,"PRESERVED_SPECIMEN",,"","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY"
190,"Crotalus triseriatus",-99.806944,19.208333,1982,"PRESERVED_SPECIMEN",,"1982-05-01T00:00:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;DIFFERENT_OWNER_INSTITUTION"
191,"Crotalus triseriatus",-99.802385,19.143816,2013,"HUMAN_OBSERVATION",31,"2013-04-26T13:57:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
192,"Crotalus triseriatus",-99.800919,19.357893,2013,"HUMAN_OBSERVATION",8,"2013-05-14T10:38:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
193,"Crotalus triseriatus",-99.80011825,19.12063033,,"PRESERVED_SPECIMEN",,"","COORDINATE_REPROJECTED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
195,"Crotalus triseriatus",-99.799459,19.349153,2013,"HUMAN_OBSERVATION",31,"2013-08-05T16:21:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
196,"Crotalus triseriatus",-99.787317,19.7375,2009,"PRESERVED_SPECIMEN",,"2009-07-22T00:00:00","COORDINATE_ROUNDED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
197,"Crotalus triseriatus",-99.775,19.125,1940,"PRESERVED_SPECIMEN",,"1940-06-19T00:00:00","GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY"
198,"Crotalus triseriatus",-99.771533,19.202504,2020,"HUMAN_OBSERVATION",30580,"2020-06-25T17:39:00","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE"
199,"Crotalus triseriatus",-99.766403,18.830299,1970,"PRESERVED_SPECIMEN",,"1970-09-06T00:00:00","COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_COLLECTION_MISMATCH;DIFFERENT_OWNER_INSTITUTION"
